default,gdp_growth,inflation,key_rate,Н1,NPL,ROA,H3,log_assets,share_sys
0,-5.8068465623421055,14.29,7.3,33.3,0.15,0.53,104.3,15.78,19.5
0,8.789155940807603,14.82,2.0,33.3,0.15,0.53,104.3,15.78,19.5
0,16.07274248117121,14.78,4.0,33.3,0.15,0.53,104.3,15.78,19.5
0,1.5274907758913159,14.62,5.2,33.3,0.15,0.53,104.3,15.78,19.5
0,-3.818034610298593,11.28,1.1,39.5,0.59,1.13,258.0,8.85,19.2
0,12.969168812212374,10.58,5.2,39.5,0.59,1.13,258.0,8.85,19.2
0,15.671595592416775,10.25,3.8,39.5,0.59,1.13,258.0,8.85,19.2
0,7.659556893485675,10.22,1.1,39.5,0.59,1.13,258.0,8.85,19.2
0,-9.85249767610451,12.7,1.1,32.5,1.5,1.5,200.0,9.5,20.5
0,13.889074752811648,12.96,1.3,32.5,1.5,1.5,200.0,9.5,20.5
0,15.112037669839108,13.63,3.4,32.5,1.5,1.5,200.0,9.5,20.5
0,6.5491293179213095,13.77,2.9,32.5,1.5,1.5,200.0,9.5,20.5
0,-6.986160785351647,10.71,3.1,28.4,5.0,0.8,183.0,10.5,21.3
0,9.927963694161468,11.18,3.3,28.4,5.0,0.8,183.0,10.5,21.3
0,14.255131709102486,10.61,2.0,28.4,5.0,0.8,183.0,10.5,21.3
0,2.810507874520507,9.77,4.1,28.4,5.0,0.8,183.0,10.5,21.3
0,-9.359373784510982,8.2,3.3,21.33,12.43,0.223,120.32,10.8,21.3
0,14.561383898598601,7.61,3.3,21.33,12.43,0.223,120.32,10.8,21.3
0,14.614921411716676,7.37,3.5,21.33,12.43,0.223,120.32,10.8,21.3
0,10.045296058572362,7.6,5.7,21.33,12.43,0.223,120.32,10.8,21.3
1,-9.384327163489036,12.56,2.8,12.0,22.84,-0.8,70.0,10.2,18.0
1,15.32642248531566,12.66,4.2,12.0,22.84,-0.8,70.0,10.2,18.0
1,12.734243764069353,13.35,4.4,12.0,22.84,-0.8,70.0,10.2,18.0
1,-7.9984012748472,14.3,7.6,12.0,22.84,-0.8,70.0,10.2,18.0
0,-5.8068465623421055,14.29,7.3,18.54,1.23,1.53,82.44,5.0,0.091
0,8.789155940807603,14.82,2.0,18.54,1.23,1.53,82.44,5.0,0.091
0,16.07274248117121,14.78,4.0,18.54,1.23,1.53,82.44,5.0,0.091
0,1.5274907758913159,14.62,5.2,18.54,1.23,1.53,82.44,5.0,0.091
0,-3.818034610298593,11.28,1.1,20.57,2.0,1.34,67.91,5.82,0.15
0,12.969168812212374,10.58,5.2,20.57,2.0,1.34,67.91,5.82,0.15
0,15.671595592416775,10.25,3.8,20.57,2.0,1.34,67.91,5.82,0.15
0,7.659556893485675,10.22,1.1,20.57,2.0,1.34,67.91,5.82,0.15
0,-9.85249767610451,12.7,1.1,18.89,3.0,1.0,47.89,5.5,0.2
0,13.889074752811648,12.96,1.3,18.89,3.0,1.0,47.89,5.5,0.2
0,15.112037669839108,13.63,3.4,18.89,3.0,1.0,47.89,5.5,0.2
0,6.5491293179213095,13.77,2.9,18.89,3.0,1.0,47.89,5.5,0.2
0,-6.986160785351647,10.71,3.1,17.01,4.0,0.75,41.087,5.8,0.25
